hw_synset_7451	戏剧性、戏剧化	形容词，引人注目的表现或变化。
hw_synset_175	区区、轻、稀松、小	形容词，指在重要性、体积等方面较小或不显著的状态
hw_synset_42498	要犯	名词，重要的有罪人。
hw_synset_1124	人、人士、主儿、人类	名词，与人相关的个体或群体的统称
hw_synset_872	千分号、千分数	名词，表示分数的分母是1000的符号(‰)。
hw_synset_8535	符、符号	名词，表示意义的标记或图形。
hw_synset_3438	消石灰、熟石灰	名词，同一种无机化合物，常用于建筑和化工领域。
hw_synset_8620	土石、垩、白垩	名词，一种白色的矿物质或土壤。
hw_synset_36957	特首	名词，特别管理地方的官员。
hw_synset_20485	候鸟	名词，随季节迁徙的鸟类。
hw_synset_1645	鸟、鸟儿、飞禽、鹱	名词，会飞的鸟类，也泛指鸟类。
hw_synset_7002	一脸稚气、奶声奶气	形容词，声音稚嫩，显得幼小。
hw_synset_7	精悍、短小精悍	形容词，形容人或事物精明能干且简洁有力
hw_synset_33362	月报	名词，每月发布的报告。
hw_synset_1812	刊物、书刊	名词，定期或不定期出版的文章和图片集合
hw_synset_1294	屎壳郎、虼螂	名词，一种昆虫，通常与环境清洁相关。
hw_synset_1295	虫、昆虫、虫子	名词，指节肢动物的一类，通常具有特定的身体结构和发育阶段。
hw_synset_1104	北辰、北极星	名词，指天空中固定不变的北方指示星
hw_synset_1106	天体、星星、星、星体、星球	名词，夜空中发光的天体，通常指恒星或行星。
hw_synset_1093	文本、语文、文、正文	名词，与语言、文字及其内容相关的学科或材料
hw_synset_14027	编辑部、编辑室	名词，负责编辑和处理读物的机构或场所。
hw_synset_2329	机关、机构、社、摊子	名词，处理事务的组织或单位，通常为服务性质。
hw_synset_15441	青出于蓝、青出于蓝而胜于蓝	动词，后辈超越前辈。
hw_synset_14860	没有、没	动词，缺乏或不存在的状态。
hw_synset_8	窎远、边远、遥遥、悠远、辽远	形容词，形容距离长或偏离主要地区的状态
hw_synset_7042	一箭之遥、一箭之地	形容词，距离很近的地方。
hw_synset_6313	呵、呼	动词，呼(气)；哈(气)。
hw_synset_16226	吹进、吹入	动词，将空气或气体送入某个空间。
hw_synset_7962	缺乏教养、无教养、没有教养、缺乏绅士风度、没教养	形容词，缺乏基本礼仪和教养的人。
hw_synset_7779	知书达理、知书识礼	形容词，有教养，懂得礼仪的人。
hw_synset_129	龙腾虎跃、虎跃龙腾	形容词，形容威武雄壮，活力四射的状态
hw_synset_130	清淡、淡、冷淡	形容词，缺乏热情或浓烈的状态
hw_synset_7140	汹涌澎湃、汹涌	形容词，波涛汹涌的状态。
hw_synset_2276	商社、商行、商家、商户	名词，商品的经营者。
hw_synset_13277	采购站、收购站	名词，用于进行商品购买的场所。
hw_synset_7133	虎头蛇尾、三天打鱼两天晒网	形容词，做事不持久，态度不稳定。
hw_synset_51	固定、不懈、执着、一贯、坚忍	形容词，属性词。(思想、作风等)一向如此，从未改变。
hw_synset_2372	规律、法则、定律	名词，事物之间的内在联系，反映客观规律的必然性。
hw_synset_2999	条例、规矩、规则、原理、规定	名词，行为和决策的标准或法则，供人们遵循。
hw_synset_37826	病友	名词，患病者之间的朋友。
hw_synset_7365	幼、少、僮、子	形容词，年轻的孩子。
hw_synset_6876	耄、耋、高迈、迈	形容词，年长者，指年纪较大的人。
hw_synset_30846	抗原	名词，引发免疫反应的病原体成分。
hw_synset_9362	快婿、乘龙快婿、佳婿、东床快婿	名词，优秀的女婿。
hw_synset_15324	活现、跃然	动词，生动地展现出来。
